,numRooms,house_configuration,cleaned_house_type,location,city,latitude,longitude,currency,numBathrooms,numBalconies,isNegotiable,Status,converted_house_size,cleaned_security_deposit,price
2024,2,BHK,Apartment,Baner,Pune,18.56468964,73.77624512,INR,2.0,0.0,Not Negotiable,Unfurnished,886.0,90000.0,30000.0
2025,3,BHK,Apartment,Fursungi,Pune,18.49274635,73.95277405,INR,3.0,3.0,Not Negotiable,Unfurnished,1300.0,0.0,15000.0
2026,2,BHK,Apartment,Ravet,Pune,18.65196991,73.75800323,INR,1.0,1.0,Not Negotiable,Furnished,970.0,50000.0,20000.0
2027,1,BHK,Apartment,Chikhali,Pune,18.6844101,73.83165741,INR,2.0,2.0,Not Negotiable,Semi-Furnished,800.0,45000.0,15000.0
2028,2,BHK,Apartment,Dhayari,Pune,18.4456501,73.82772827,INR,2.0,2.0,Not Negotiable,Semi-Furnished,1000.0,30000.0,13000.0
2029,2,BHK,Apartment,Hinjewadi,Pune,18.60608673,73.6888504,INR,2.0,1.0,Negotiable,Semi-Furnished,544.0,25000.0,8500.0
2030,3,BHK,Apartment,Pimple Gurav,Pune,18.58408737,73.81674957,INR,3.0,2.0,Not Negotiable,Semi-Furnished,1233.0,100000.0,32000.0
2031,2,BHK,Apartment,Hadapsar,Pune,18.51889038,73.91949463,INR,2.0,0.0,Not Negotiable,Furnished,1192.0,100000.0,38000.0
2032,2,BHK,Apartment,Koregaon Park,Pune,18.53953171,73.89923096,INR,2.0,1.0,Negotiable,Unfurnished,1500.0,115000.0,39000.0
2033,2,BHK,Apartment,Chikhali,Pune,18.68491554,73.81268311,INR,2.0,0.0,Negotiable,Semi-Furnished,954.0,30000.0,15000.0
2034,2,BHK,Apartment,Mundhwa,Pune,18.53220177,73.94471741,INR,2.0,1.0,Negotiable,Semi-Furnished,1056.0,56000.0,28000.0
2035,2,BHK,Apartment,Dhayari,Pune,18.4456501,73.82772827,INR,2.0,2.0,Not Negotiable,Semi-Furnished,1000.0,30000.0,13000.0
2036,1,BHK,Apartment,Dhanori,Pune,18.59778595,73.90550995,INR,2.0,1.0,Negotiable,Unfurnished,750.0,35000.0,17500.0
2037,3,BHK,Apartment,Moshi,Pune,18.66456223,73.83971405,INR,2.0,4.0,Negotiable,Unfurnished,1000.0,50000.0,25000.0
2038,2,BHK,Apartment,Wagholi,Pune,18.56959343,73.95823669,INR,2.0,2.0,Not Negotiable,Semi-Furnished,952.0,50000.0,16000.0
2039,2,BHK,Apartment,Wagholi,Pune,18.58126259,73.98873901,INR,2.0,1.0,Not Negotiable,Unfurnished,950.0,30000.0,10500.0
2040,2,BHK,Apartment,Wagholi,Pune,18.5781498,74.00430298,INR,2.0,2.0,Not Negotiable,Unfurnished,951.0,30000.0,10000.0
2041,2,BHK,Apartment,Wagholi,Pune,18.58084106,73.98760986,INR,2.0,2.0,Not Negotiable,Unfurnished,1000.0,40000.0,14000.0
2042,2,BHK,Apartment,Wagholi,Pune,18.57670975,73.99583435,INR,2.0,1.0,Negotiable,Semi-Furnished,931.0,40000.0,14000.0
2043,2,BHK,Apartment,Wagholi,Pune,18.5858593,73.98474121,INR,2.0,2.0,Not Negotiable,Unfurnished,905.0,30000.0,10500.0
2044,2,BHK,Apartment,Wagholi,Pune,18.589571,74.00563812,INR,2.0,0.0,Not Negotiable,Semi-Furnished,833.0,30000.0,11000.0
2045,2,BHK,Apartment,Wagholi,Pune,18.57751656,73.9812851,INR,2.0,2.0,Not Negotiable,Unfurnished,741.0,30000.0,11000.0
2046,1,BHK,Apartment,Katraj,Pune,18.4582119,73.87044525,INR,1.0,0.0,Not Negotiable,Unfurnished,650.0,0.0,8000.0
2047,3,BHK,Apartment,Balewadi,Pune,18.57930756,73.77586365,INR,3.0,0.0,Not Negotiable,Unfurnished,1450.0,0.0,32000.0
